surveyid,transectid,survey_date,site,folder_name,lat_start,lng_start,camera,depth,temp
1,0,20230804,CBK,20230804_CBK,"10°03'51""N","99°49'36""E",Olympus TG-6,0.3m,31.3℃
2,0,20230815,TTB,20230815_TTB,10°05'00''N,99°51'03''E,Olympus TG-6,15m,31.0℃
3,0,20230816,TCB,20230816_TCB,10°03'39''N,99°49'54''E,Olympus TG-6,5m,31.6℃
4,0,20230817,SKI,20230817_SKI,10°03'46''N,99°50'44''E,Olympus TG-6,18m,28.9℃
5,0,20230818,SIN,20230818_SIN,10°04'42''N,99°48'57''E,Olympus TG-6,4m,29.1℃
9,0,20230824,WHR,20230824_WHR,10°06'27''N,99°48'50''E,Olympus TG-6,18.2m,28.3℃
18,0,20230907,LMT,20230907_LMT,10°05'16''N,99°51'15''E,Olympus TG-6,15m,28.9℃
21,0,20230913,KNK,20230913_KNK,10°04'26''N,99°50'50''E,Olympus TG-6,18.2m,28.6℃
24,0,20230918,SOL,20230918_SOL,10°03'49''N,99°50'37''E,Olympus TG-6,11.1m,30.0℃
25,0,20230919,SWP,20230919_SWP,9°59'56''N,99°46'43''E,Olympus TG-6,23.3m,28.6℃
26,12,20230920,TAT,20230920_TAT,10°03'58''N,99°49'06''E,Olympus TG-6,8.5m,29.0℃
29,12,20230926,HWB,20230926_HWB,10°06'05''N,99°51'02''E,Olympus TG-6,8.8m,27.6℃
30,11,20230927,ALK,20230927_ALK,10°04'19''N,99°50'29''E,Olympus TG-6,9.2m,27.7℃
31,0,20230928,HNM,20230928_HNM,10°04'01''N,99°50'28''E,Olympus TG-6,9.8m,27.5℃
32,0,20230929,AOM,20230929_AOM,10°05'34''N,99°51'19''E,Olympus TG-6,21.3m,28.3℃
33,0,20240103,SKI,20240103_SKI,10°03'45''N,99°50'43''E,Olympus TG-6,16.9m,28.8℃
34,0,20240115,TCB,20240115_TCB,10°03'39''N,99°49'52''E,Olympus TG-6,6.3m,29.6℃
35,0,20240118,ALK,20240118_ALK,10°04'17''N,99°50'29''E,Olympus TG-6,9.1m,28.7℃
36,0,20240119,SKI,20240119_SKI,10°03'40''N,99°50'33''E,Olympus TG-6,18.8m,28.6℃
37,12,20240122,HWB,20240122_HWB,10°06'08''N,99°51'02''E,Olympus TG-6,9.1m,29.6℃
38,0,20240124,CBK,20240124_CBK,10°03'43''N,99°49'28''E,Olympus TG-6,10.4m,29.2℃
39,0,20240126,CBK,20240126_CBK,10°03'52''N,99°49'32''E,Olympus TG-6,3.6m,27.3℃
40,0,20240129,SIN,20240129_SIN,10°04'42''N,99°48'55''E,Olympus TG-6,7.1m,28.6℃
